Team Name,Funds Remaining (INR),Overseas Players,Total Players
Chennai Super Kings,10000000,8,25
Delhi Capitals,99000000,8,25
Gujarat Titans,78500000,8,25
Kolkata Knight Riders,13500000,8,23
Lucknow Super Giants,9500000,8,25
Mumbai Indians,10500000,8,25
Punjab Kings,41500000,8,25
Rajasthan Royals,2000000,8,22
Royal Challengers Bengaluru,28500000,8,25
Sunrisers Hyderabad,32000000,8,25
