PLAYER,NATIONALITY,TYPE,BASE PRICE
Steve Smith,Overseas,Batter,"2,00,00,000"
Josh Inglis,Overseas,Wicket-Keeper,"2,00,00,000"
Josh Hazlewood,Overseas,Bowler,"2,00,00,000"
Adil Rashid,Overseas,Bowler,"2,00,00,000"
Rassie Van Der Dussen,Overseas,Batter,"2,00,00,000"
James Vince,Overseas,Batter,"2,00,00,000"
Sean Abbott,Overseas,All-Rounder,"2,00,00,000"
Jamie Overton,Overseas,All-Rounder,"2,00,00,000"
Ben Duckett,Overseas,Wicket-Keeper,"2,00,00,000"
Philip Salt,Overseas,Wicket-Keeper,"1,50,00,000"
Colin Munro,Overseas,Batter,"1,50,00,000"
Jason Holder,Overseas,All-Rounder,"1,50,00,000"
James Neesham,Overseas,All-Rounder,"1,50,00,000"
Daniel Sams,Overseas,All-Rounder,"1,50,00,000"
Chris Jordan,Overseas,Bowler,"1,50,00,000"
Tymal Mills,Overseas,Bowler,"1,50,00,000"
Tim Southee,Overseas,Bowler,"1,50,00,000"
Ashton Agar,Overseas,All-Rounder,"1,00,00,000"
Michael Bracewell,Overseas,All-Rounder,"1,00,00,000"
Dwaine Pretorius,Overseas,All-Rounder,"1,00,00,000"
Sam Billings,Overseas,Wicket-Keeper,"1,00,00,000"
Kyle Jamieson,Overseas,Bowler,"1,00,00,000"
Riley Meredith,Overseas,Bowler,"1,00,00,000"
Adam Milne,Overseas,Bowler,"1,00,00,000"
Wayne Parnell,Overseas,Bowler,"1,00,00,000"
David Wiese,Overseas,All-Rounder,"1,00,00,000"
Ish Sodhi,Overseas,Bowler,"75,00,000"
Finn Allen,Overseas,Batter,"75,00,000"
Fabian Allen,Overseas,All-Rounder,"75,00,000"
Keemo Paul,Overseas,All-Rounder,"75,00,000"
Matt Henry,Overseas,Bowler,"75,00,000"
Lance Morris,Overseas,Bowler,"75,00,000"
Ollie Robinson,Overseas,Bowler,"75,00,000"
Billy Stanlake,Overseas,Bowler,"75,00,000"
Olly Stone,Overseas,Bowler,"75,00,000"
Karun Nair,Indian,Batter,"50,00,000"
Kusal Mendis,Overseas,Wicket-Keeper,"50,00,000"
Akeal Hosein,Overseas,Bowler,"50,00,000"
Mohammad Waqar Salamkheil,Overseas,Bowler,"50,00,000"
Tabraiz Shamsi,Overseas,Bowler,"50,00,000"
Alick Athanaze,Overseas,Batter,"50,00,000"
Mark Chapman,Overseas,Batter,"50,00,000"
Samuel Hain,Overseas,Batter,"50,00,000"
Reeza Hendricks,Overseas,Batter,"50,00,000"
Brandon King,Overseas,Batter,"50,00,000"
Ibrahim Zadran,Overseas,Batter,"50,00,000"
Najibullah Zadran,Overseas,Batter,"50,00,000"
Wesley Agar,Overseas,All-Rounder,"50,00,000"
Qais Ahamad,Overseas,All-Rounder,"50,00,000"
Charith Asalanka,Overseas,All-Rounder,"50,00,000"
Brydon Carse,Overseas,All-Rounder,"50,00,000"
Ben Cutting,Overseas,All-Rounder,"50,00,000"
Matthew Forde,Overseas,All-Rounder,"50,00,000"
George Garton,Overseas,All-Rounder,"50,00,000"
George Linde,Overseas,All-Rounder,"50,00,000"
Keshav Maharaj,Overseas,All-Rounder,"50,00,000"
Wiaan Mulder,Overseas,All-Rounder,"50,00,000"
Dasun Shanaka,Overseas,All-Rounder,"50,00,000"
Matthew Short,Overseas,All-Rounder,"50,00,000"
Odean Smith,Overseas,All-Rounder,"50,00,000"
Hanuma Vihari,Indian,All-Rounder,"50,00,000"
Johnson Charles,Overseas,Wicket-Keeper,"50,00,000"
Varun Aaron,Indian,Bowler,"50,00,000"
Fareed Ahmad,Overseas,Bowler,"50,00,000"
Dushmanta Chameera,Overseas,Bowler,"50,00,000"
Ben Dwarshuis,Overseas,Bowler,"50,00,000"
Richard Gleeson,Overseas,Bowler,"50,00,000"
Siddharth  Kaul,Indian,Bowler,"50,00,000"
Lahiru Kumara,Overseas,Bowler,"50,00,000"
Obed Mccoy,Overseas,Bowler,"50,00,000"
Blessing Muzarabani,Overseas,Bowler,"50,00,000"
Richard Ngarava,Overseas,Bowler,"50,00,000"
George Scrimshaw,Overseas,Bowler,"50,00,000"
Barinder Sran,Indian,Bowler,"50,00,000"
Oshane Thomas,Overseas,Bowler,"50,00,000"
Sandeep Warrier,Indian,Bowler,"50,00,000"
Lizaad Williams,Overseas,Bowler,"50,00,000"
Luke Wood,Overseas,Bowler,"50,00,000"
Benny Howell,Overseas,All-Rounder,"40,00,000"
Jalaj Saxena,Indian,All-Rounder,"40,00,000"
Corbin Bosch,Overseas,All-Rounder,"30,00,000"
Kamlesh Nagarkoti,Indian,All-Rounder,"30,00,000"
Basil Thampi,Indian,Bowler,"30,00,000"
Lalit Yadav,Indian,Bowler,"30,00,000"
S Midhun,Indian,Bowler,"30,00,000"
Izharulhuq Naveed,Overseas,Bowler,"30,00,000"
Priyansh Arya,Indian,Batter,"20,00,000"
Rohan  Kunnummal,Indian,Batter,"20,00,000"
Manan Vohra,Indian,Batter,"20,00,000"
Raj Angad Bawa,Indian,All-Rounder,"20,00,000"
Sarfaraz Khan,Indian,All-Rounder,"20,00,000"
Vivrant Sharma,Indian,All-Rounder,"20,00,000"
Atit Sheth,Indian,All-Rounder,"20,00,000"
Hrithik Shokeen,Indian,All-Rounder,"20,00,000"
Urvil Patel,Indian,Wicket-Keeper,"20,00,000"
Vishnu Solanki,Indian,Wicket-Keeper,"20,00,000"
Ishan Porel,Indian,Bowler,"20,00,000"
Kuldip Yadav,Indian,Bowler,"20,00,000"
Murgan Ashwin,Indian,Bowler,"20,00,000"
Pulkit Narang,Indian,Bowler,"20,00,000"
Shiva  Singh,Indian,Bowler,"20,00,000"
Dinesh  Bana,Indian,Batter,"20,00,000"
Rajat Dey,Indian,Batter,"20,00,000"
Abhimanyu Easwaran,Indian,Batter,"20,00,000"
Rithik Easwaran,Indian,Batter,"20,00,000"
Chirag Gandhi,Indian,Batter,"20,00,000"
Nikhil Gangta,Indian,Batter,"20,00,000"
Sudip Gharami,Indian,Batter,"20,00,000"
Ansh Gosai,Indian,Batter,"20,00,000"
Azim Kazi,Indian,Batter,"20,00,000"
Amandeep Khare,Indian,Batter,"20,00,000"
Ankit Kumar,Indian,Batter,"20,00,000"
Bhupen Lalwani,Indian,Batter,"20,00,000"
Pukhraj Mann,Indian,Batter,"20,00,000"
Tanmay Mishra,Indian,Batter,"20,00,000"
Salman Nizar,Indian,Batter,"20,00,000"
Priyank Panchal,Indian,Batter,"20,00,000"
Akshat Raghuwanshi,Indian,Batter,"20,00,000"
Ekant Sen,Indian,Batter,"20,00,000"
Subhranshu Senapati,Indian,Batter,"20,00,000"
Naushad Shaikh,Indian,Batter,"20,00,000"
Dhruv Shorey,Indian,Batter,"20,00,000"
Himmat Singh,Indian,Batter,"20,00,000"
Virat  Singh,Indian,Batter,"20,00,000"
Sumeet Verma,Indian,Batter,"20,00,000"
P.A. Abdul,Indian,All-Rounder,"20,00,000"
Murugan Abhishek,Indian,All-Rounder,"20,00,000"
Atharva Ankolekar,Indian,All-Rounder,"20,00,000"
Baba Aparajith,Indian,All-Rounder,"20,00,000"
